E(eV),T(E)
8.245614035087719174e+00,1.060525998121669162e-15
8.295739348370926081e+00,9.775428215286783179e-16
8.345864661654132988e+00,9.021253907893274866e-16
8.395989974937343447e+00,8.334838480823535722e-16
8.446115288220550354e+00,7.709213919067309021e-16
8.496240601503757262e+00,7.138220566778051414e-16
8.546365914786967721e+00,6.616402624426635099e-16
8.596491228070174628e+00,6.138918544457852420e-16
8.646616541353381535e+00,5.701464004051626712e-16
8.696741854636591995e+00,5.300205525849861362e-16
8.746867167919798902e+00,4.931723138374467720e-16
8.796992481203005809e+00,4.592960731245572574e-16
8.847117794486216269e+00,4.281182977236920151e-16
8.897243107769423176e+00,3.993937872449331424e-16
8.947368421052630083e+00,3.729024094454925267e-16
8.997493734335836990e+00,3.484462501780561681e-16
9.047619047619047450e+00,3.258471201085437456e-16
9.097744360902254357e+00,3.049443694495641516e-16
9.147869674185461264e+00,2.855929691751278705e-16
9.197994987468671724e+00,2.676618232505073380e-16
9.248120300751878631e+00,2.510322815249900506e-16
9.298245614035085538e+00,2.355968272554609110e-16
9.348370927318295998e+00,2.212579168869171989e-16
9.398496240601502905e+00,2.079269528210025546e-16
9.448621553884709812e+00,1.955233725446525635e-16
9.498746867167920271e+00,1.839738397426915523e-16
9.548872180451127178e+00,1.732115249414311748e-16
9.598997493734334086e+00,1.631754648769487419e-16
9.649122807017540993e+00,1.538099911939652675e-16
9.699248120300751452e+00,1.450642202948031518e-16
9.749373433583958359e+00,1.368915972029637447e-16
9.799498746867165266e+00,1.292494872070913098e-16
9.849624060150375726e+00,1.220988098300473573e-16
9.899749373433582633e+00,1.154037103418619543e-16
9.949874686716789540e+00,1.091312646199665467e-16
1.000000000000000000e+01,1.032512136677465505e-16
